
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus        Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus      66.4          1  0.0008986   0.001353 4.32E-009 6.506E-009
650           2.402          1  4.293E-005   0.001788 7.732E-006 0.0003219
rg60          2.502      1.042   0.004943     0.1976  0.004984    0.1992
634           2.439      1.015     0.0144     0.5905    0.0167    0.6848
634-1'       0.2813      1.015   0.001661     0.5904  0.001926    0.6847
634-2         2.439      1.015    0.01431     0.5867   0.01684    0.6906
634-2'       0.2813      1.015    0.00165     0.5867  0.001943    0.6905
634-3         2.439      1.015    0.01424     0.5838   0.01695    0.6953
634-3'       0.2813      1.015   0.001642     0.5837  0.001956    0.6952
634-4         2.439      1.015    0.01418     0.5816   0.01704    0.6988
634-4'       0.2813      1.015   0.001636     0.5815  0.001965    0.6987
634-5         2.438      1.015    0.01415     0.5801    0.0171    0.7011
634-5'       0.2813      1.015   0.001632     0.5801  0.001972     0.701
634-6         2.438      1.015    0.01413     0.5794   0.01712    0.7023
634-6'       0.2813      1.015    0.00163     0.5793  0.001975    0.7022
633           2.439      1.015    0.01433     0.5875   0.01669    0.6842
633-1'       0.2814      1.015   0.001653     0.5874  0.001925    0.6842
633-2         2.439      1.015    0.01418     0.5816    0.0169    0.6929
633-2'       0.2813      1.015   0.001636     0.5815  0.001949    0.6928
633-3         2.439      1.015    0.01406     0.5764   0.01708    0.7005
633-3'       0.2813      1.015   0.001621     0.5763  0.001971    0.7004
633-4         2.439      1.015    0.01395     0.5721   0.01724     0.707
633-4'       0.2813      1.015   0.001609      0.572  0.001989    0.7069
633-5         2.439      1.015    0.01386     0.5684   0.01737    0.7123
633-5'       0.2813      1.015   0.001599     0.5683  0.002003    0.7122
633-6         2.438      1.015    0.01379     0.5655   0.01747    0.7164
633-6'       0.2813      1.015   0.001591     0.5654  0.002015    0.7164
633-7         2.438      1.015    0.01374     0.5634   0.01754    0.7195
633-7'       0.2813      1.015   0.001545     0.5492  0.002027    0.7207
633-8         2.438      1.015    0.01371     0.5623   0.01758     0.721
633-8'       0.2813      1.015   0.001542     0.5481  0.002032    0.7222
611           2.351     0.9788          0          0         0         0
611-1'       0.2712     0.9786          0          0         0         0
611-2          2.35     0.9786          0          0         0         0
611-2'       0.2712     0.9784          0          0         0         0
611-3          2.35     0.9785          0          0         0         0
611-3'       0.2711     0.9783          0          0         0         0
611-4          2.35     0.9785          0          0         0         0
611-4'       0.2711     0.9783          0          0         0         0
